DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/02/2016 12:00:00 AM","20220.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","03/05/2016 12:00:00 AM","15000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/10/2015 12:00:00 AM","10608.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","13/06/2016 12:00:00 AM","10000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/06/2016 12:00:00 AM","9183.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/05/2016 12:00:00 AM","9000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/10/2015 12:00:00 AM","8300.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","20/06/2016 12:00:00 AM","7040.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","03/05/2016 12:00:00 AM","7000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/03/2016 12:00:00 AM","6392.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","07/10/2015 12:00:00 AM","5903.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/10/2015 12:00:00 AM","5491.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/02/2016 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/03/2016 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/11/2015 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/11/2015 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/12/2015 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/12/2015 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","07/12/2015 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/01/2016 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/01/2016 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","25/01/2016 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/05/2016 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/06/2016 12:00:00 AM","5000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","10/06/2016 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/05/2016 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/01/2016 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/02/2016 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","14/12/2015 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","13/11/2015 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/04/2016 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","10/03/2016 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/10/2015 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/09/2015 12:00:00 AM","4631.0000",
